Значения функции y = 2*x^2 + x - 1
0		0.1
0.2		0.3
0.4		0.5
0.6		0.7
0.8		0.9
1		1.1
1.2		1.3
1.4		1.5
1.6		1.7
1.8		1.9
2		2.1
2.2		2.3
2.4		2.5
2.6		2.7
2.8		2.9
3		3.1
3.2		3.3
3.4		3.5
3.6		3.7
3.8		3.9
4		4.1
4.2		4.3
4.4		4.5
4.6		4.7
4.8		4.9
5		-1
-0.88		-0.72
-0.52		-0.28
0		0.32
0.68		1.08
1.52		2
2.52		3.08
3.68		4.32
5		5.72
6.48		7.28
8.12		9
9.92		10.88
11.88		12.92
14		15.12
16.28		17.48
18.72		20
21.32		22.68
24.08		25.52
27		28.52
30.08		31.68
33.32		35
36.72		38.48
40.28		42.12
44		45.92
47.88		49.88
51.92		54
